address;amount
tz1bafXvnKt87p1yXPV3vvVpe6gyD7BCdjyh;1
tz1dEXH1Qzm8cYHBuykJ7DLZw2zvK7wqtoxP;1
tz1UuujYk2VUaCLiRG8VzqFumMAikD4hLNQt;1
tz1RGAFizZoqYFdeAPRtC4NtHxsBzTGjogeg;1
tz1i8QBJUiy3StRLzQ5ukt2J46j2bBt3rsUB;1
tz1Kyv1sA9Q3Z8k4XArWJKNk3B61ukQMZWTL;1
tz1XyJeGD8hNMLcVHju6GaNTG3Zj6yLz3mpr;1
tz1PFyhUuewJzmVHWuuTNy5ZiujgJiKMuwkq;1
tz1VxD9JTHR3cZyX7tymAnFgTg7aUcPydvTv;1
tz1Q3VQ2seeJgMiu2rYm2jd2cJkN9tRRZHmb;1
tz1ZsjkLqovCC7vC5a2hUWGNKcTYV2cgCeAk;1
tz1gWiLqrzjng7PLkM7H7WLnTzK9LCTrkSb4;1
tz1NwU2n65NtsVjWWBRDvCS8a573aWLbZ2Vm;1
tz1WW9sjM88bDA9FydCC1RpmiS1wrDUbuW9w;1
tz1KeV4HFbVPyNBeZZFUG9sGjaKm12rawhuM;1
tz1U9ZoiU5HRvQD29kjK1roSUiLDamMrjDJ9;1
tz1NKkJ5qs7KqSeRJtEsGV4yGbXsTMY7Ysoq;1
tz1cNLHCCGinb4KZbvbx95BYoJpZBRWW5wDd;1
tz1Rg8njNnR6ef2vCBvpgPRNGH1HVMSiD6om;1
tz2CEP4649pxt2xNqKeXDdq7t62LBc7U3RiB;1
tz1SdoRUPTLjbDQQQdbCKMLEShrQNbubHSiS;1
tz1cSPGVnhQzD3e5VyZ4EZVhd28tKTjVw3Lk;1
tz1YxAN3rn85UQxevF7w78v66xHnSQQByo2j;1
